Dimension,Rugo_status,Rugo_evidence,Linux_kernel,Linux_citation,Debian,Debian_citation,Ubuntu,Ubuntu_citation,Fedora,Fedora_citation,Arch,Arch_citation,NixOS,NixOS_citation,Gentoo,Gentoo_citation,Windows,Windows_citation,FreeBSD,FreeBSD_citation,OpenBSD,OpenBSD_citation,NetBSD,NetBSD_citation,illumos,illumos_citation,Redox,Redox_citation,ReactOS,ReactOS_citation
"Kernel architecture and modularity","Rust no_std kernel plus Go user-space boundary; legacy lane retained.","README.md:3-7; MILESTONES.md:89-110; arch/x86_64/entry.asm:20-25","CFS scheduler and unified driver model are documented.","https://docs.kernel.org/scheduler/sched-design-CFS.html; https://docs.kernel.org/driver-api/driver-model/overview.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel-mode manager decomposition plus Executive and HAL are documented.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/; https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/windows-kernel-mode-executive-support-library; https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/windows-kernel-mode-hal-library","Architecture handbook has kernel-architecture chapters.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Kernel documentation and guide portals exist for internals.","https://www.netbsd.org/Documentation/kernel/; https://www.netbsd.org/docs/guide/en/","AArch64 port design doc provides architecture assumptions.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Book structure lists architecture topics; primary book endpoint blocked in this run.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md; https://doc.redox-os.org/book/","Architecture page describes NT-style architecture goals.","https://reactos.org/architecture/"
"Boot process and loader assumptions","Limine config, asm _start to kmain, and mkimage Limine install path are explicit.","boot/limine.conf:4-7; arch/x86_64/entry.asm:20-25; tools/mkimage.sh:58-63,117-123","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Bootstrapping chapters include BIOS, boot0, boot1, boot2, loader.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","SystemReady/firmware assumptions documented for AArch64 port.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Unknown (I cannot confirm this)","Unknown","Architecture page documents NT bootloader relationship.","https://reactos.org/architecture/"
"Process, thread, and scheduling model","Cooperative user-thread model and scheduler milestone behavior are documented.","docs/abi/syscall_v0.md:84-103; MILESTONES.md:198-223","CFS uses vruntime and rbtree runqueue ordering.","https://docs.kernel.org/scheduler/sched-design-CFS.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel docs list process/thread manager.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Book structure includes scheduling chapter only.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page lists scheduler among NT-kernel components.","https://reactos.org/architecture/"
"Memory management model (virtual memory, paging concepts as documented)","Paging and bounded vm_map/vm_unmap behavior are documented.","MILESTONES.md:169-176; docs/abi/syscall_v0.md:94-103","Virtual memory concepts and hierarchical page tables are documented.","https://docs.kernel.org/admin-guide/mm/concepts.html; https://docs.kernel.org/mm/page_tables.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel docs identify a memory manager in kernel mode.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","VM chaptering exists in architecture handbook.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Kernel docs reference UVM material.","https://www.netbsd.org/Documentation/kernel/","AArch64 VMSAv8-64 MMU assumptions are documented.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Book structure includes memory-management topic only.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Unknown (I cannot confirm this)","Unknown"
"Driver model and hardware enablement approach","QEMU-first VirtIO blk/net with PCI probing and M9 matrix/test gates.","README.md:3-7; MILESTONES.md:509-545; docs/abi/syscall_v0.md:230-235,281-285","Unified driver model with bus/device abstractions and sysfs is documented.","https://docs.kernel.org/driver-api/driver-model/overview.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel/HAL/WDM driver guidance documented.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/; https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/windows-kernel-mode-hal-library","Driver and Newbus chapters are listed in handbook.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ links hardware support section.","https://www.openbsd.org/faq/","Kernel docs include hardware debugging sections.","https://www.netbsd.org/Documentation/kernel/","AArch64 target platform classes and firmware profile assumptions documented.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Book structure includes drivers topic only.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page says most NT kernel driver interfaces implemented.","https://reactos.org/architecture/"
"System call surface and ABI stability approach","Syscall table, register ABI, freeze rules, and no-breaking window are explicit.","docs/abi/syscall_v0.md:16-20,32-45,59-79","Syscall process guidance is long-lived; ABI docs state interfaces like syscalls are expected not to change.","https://docs.kernel.org/process/adding-syscalls.html; https://docs.kernel.org/admin-guide/abi-stable.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","AArch64 ABI policy is discussed in IPD24 scope.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown"
"Filesystem model and storage stack","SimpleFS v0 format and constraints are documented; kernel orchestrates fsd/pkg/sh in v0 flow.","docs/storage/fs_v0.md:19-55,73-91; docs/abi/syscall_v0.md:255-275","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Handbook includes filesystem I/O sections.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Book structure includes RedoxFS topic.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page includes storage stack in scope list.","https://reactos.org/architecture/"
"Networking stack and userland networking tools","UDP echo v0 profile is documented with explicit implemented and not-implemented scope.","docs/net/udp_echo_v0.md:9-42,62-64; tests/net/test_udp_echo.py:4-9","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Network-driver chapters are listed in handbook.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ links PF user's guide and networking topics.","https://www.openbsd.org/faq/","Guide includes network tools chapter entries.","https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown"
"Security model (isolation boundaries, permissions, mitigations as documented)","M10 rights model, syscall filtering, secure boot manifest, fuzz gate, and incident process are documented as done.","MILESTONES.md:548-596; docs/abi/syscall_v0.md:200-214","Userspace API docs enumerate seccomp, landlock, no_new_privs interfaces.","https://docs.kernel.org/userspace-api/index.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel docs include Security Reference Monitor manager.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","Handbook includes TrustedBSD MAC and jail chapters.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ foregrounds security updates documentation.","https://www.openbsd.org/faq/","Guide TOC includes Veriexec subsystem chapter.","https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Project docs mention security topic areas but primary redox book endpoint was blocked in this run.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md; https://doc.redox-os.org/book/","Unknown (I cannot confirm this)","Unknown"
"Userspace model (init, services, IPC model)","Go service boundary and syscall/IPC service-registry semantics are documented; G1/G2 tests confirm user-space Go flows.","MILESTONES.md:104-110,403-425,429-461; docs/abi/syscall_v0.md:105-183; tests/go/test_go_user_service.py:8-14; tests/go/test_std_go_binary.py:6-40","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","NixOS manual explicitly documents systemd integration and service options.","https://nixos.org/manual/nixos/stable/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Guide includes rc.d system chapter.","https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Book structure includes communication and system-services topics.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page documents system processes (smss, winlogon, lsass, SCM).","https://reactos.org/architecture/"
